Site,Focal_sp,Plot,Tree,Period,Growth,preceding_dbh,PPT,CMD,period_rainfall,period_md,daily_annual_cmd,daily_period_md,norm_md,monthly_period_md,anomaly,growth_no_negs,growth_rate,total_nbh_ba,number_neighbours,total_nci,intra_nci,inter_nci,PC1,PC2,log_total_nci,log_p1_intra_nci,log_p1_inter_nci,std_total_nci,std_intra_nci,std_inter_nci,std_preceding_dbh,std_ppt,std_cmd,std_daily_md,std_norm_md,std_period_ppt,std_period_md,std_daily_period_md,std_monthly_period_md,std_anomaly,std_PC1,std_PC2,site_climate
TMP,OBLI,A,5,2,0,345.94,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,0,0,0.9744238663731292,182,102.65377483398166,40.24832944832945,62.40544538565221,-0.8847761249507798,0.8269419285254427,4.631361916622038,3.7196106137382983,4.1495497471185,0.3894492084337824,-0.8594787064140657,-0.27054290378270274,-0.1999200709514248,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,6,2,-12.1,372.87,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,0,0,0.9902300044115027,158,130.39998162891544,51.52115883279199,78.87882279612346,-0.8847761249507798,0.8269419285254427,4.870606508609993,3.9612161137911754,4.3805107712848335,0.7171693317449103,-0.5285245828033551,0.045830288567935536,0.04146059067642178,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,7,2,42.34,464.68,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,27.66,0.07619834710743802,1.5438768047444489,174,156.9023907629988,83.26968537414966,73.63270538884915,-0.8847761249507798,0.8269419285254427,5.055623897118109,4.434022196232136,4.312578821174306,0.9706083786749053,0.11913088289512964,-0.04722371479322882,0.8643777293341488,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,8,2,20.2,323.4,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,11.8,0.0325068870523416,0.9036594918510191,98,151.0011211791382,87.0774681463918,63.923653032746415,-0.8847761249507798,0.8269419285254427,5.017287261814764,4.4782167470693075,4.173212010822186,0.9180943939509432,0.17966911086379755,-0.23813004999839268,-0.4019520097962694,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,9,2,5.12,510.99,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,4.13,0.01137741046831956,0.7298673716525951,214,170.24069487059714,78.04087861372345,92.19981625687369,-0.8847761249507798,0.8269419285254427,5.137213287856634,4.369965169442144,4.534745750196831,1.0823705086839095,0.031384796163868536,0.2571032201227429,1.2794664200131527,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,10,2,37.66,338.43,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,27.23,0.0750137741046832,0.9763873617816227,130,117.17968450219799,45.125,72.05468450219799,-0.8847761249507798,0.8269419285254427,4.763708521692792,3.8313551023606913,4.291208263480789,0.5707391819006872,-0.7064097601679857,-0.07649736208595158,-0.2672341730243964,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,A,11,2,11.62,301.16,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,7.46,0.020550964187327825,0.9631534027283758,124,142.47795335372228,56.50714285714286,85.97081049657942,-0.8847761249507798,0.8269419285254427,4.959187274432155,4.051909163690676,4.465572550824427,0.8385083315401273,-0.4042921508409093,0.16234893857438165,-0.6012949698632317,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,-0.1979551974178943,0.7633289574787557,wet
TMP,OBLI,B,1,2,18,469.7,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,14.3,0.0393939393939394,3.0651145074289667,67,201.37622625350522,29.30385790679908,172.07236834670616,2.724993982923806,-0.23860765251846078,5.3051749308814795,3.41127502806709,5.153709821171621,1.3124463900497605,-1.281840504930559,1.1049676586853852,0.9093733075507022,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,1.8798145171459826,-0.29808933607207405,wet
TMP,OBLI,B,2,2,0,300,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,0.21,5.785123966942149e-4,2.5368839770617253,60,194.1073096494149,128.92646826857353,65.18084138084139,2.724993982923806,-0.23860765251846078,5.268411148659151,4.86696866172404,4.192391015933977,1.2620869184179357,0.7121861652701944,-0.21185841782483392,-0.6116923544710411,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,1.8798145171459826,-0.29808933607207405,wet
TMP,OBLI,B,3,2,7.1,333.17,832.6800000000001,247.31999999999994,487.59999999999997,268.2,0.6775890410958902,0.7388429752066116,187.65070000000003,220.60000000000008,32.94930000000005,3.93,0.010826446280991737,2.7195785854422594,78,346.7718625574682,238.9175090031728,107.85435355429537,2.724993982923806,-0.23860765251846078,5.848667107120769,5.480295151772536,4.690010782786073,2.056928518300921,1.5523281775870033,0.4697871316095054,-0.3143809342632553,-0.16222540999448037,-0.18064534986377734,-0.1806453498637774,-0.3753061109010549,-1.2281787130808866,0.6385565457896942,0.605979234713719,0.5627385451223179,1.0942239913376015,1.8798145171459826,-0.29808933607207405,wet
